natural_object|artifact, artefact
artifact|natural_object
artefact|natural_object
overachievement|underachievement
underachievement|overachievement
appearance|disappearance, disappearing
disappearance|appearance
disappearing|appearance
retreat|progress, progression, procession, advance, advancement, forward_motion, onward_motion
debarkation|boarding, embarkation, embarkment
disembarkation|boarding, embarkation, embarkment
disembarkment|boarding, embarkation, embarkment
boarding|debarkation, disembarkation, disembarkment
embarkation|debarkation, disembarkation, disembarkment
embarkment|debarkation, disembarkation, disembarkment
passing|failing, flunk
pass|failing, flunk
qualifying|failing, flunk
failing|passing, pass, qualifying
flunk|passing, pass, qualifying
call_option|put_option, put
call|put_option, put
put_option|call_option, call
put|call_option, call
best|worst
worst|best
fair_ball|foul_ball
foul_ball|fair_ball
loosening|tightening
laxation|tightening
tightening|loosening, laxation
monetization|demonetization, demonetisation
monetisation|demonetization, demonetisation
demonetization|monetization, monetisation
demonetisation|monetization, monetisation
split_ticket|straight_ticket
straight_ticket|split_ticket
earned_run|unearned_run
unearned_run|earned_run
promotion|demotion
demotion|promotion
finish|beginning, start, commencement
finishing|beginning, start, commencement
spontaneous_abortion|live_birth
miscarriage|live_birth
stillbirth|live_birth
deactivation|activation
defusing|activation
beginning|finish, finishing
start|finish, finishing
commencement|finish, finishing
activation|deactivation, defusing
contamination|decontamination
pollution|decontamination
progress|retreat
progression|retreat
procession|retreat
advance|retreat
advancement|retreat
forward_motion|retreat
onward_motion|retreat
rising_trot|sitting_trot
sitting_trot|rising_trot
domestic_flight|international_flight
international_flight|domestic_flight
acceleration|deceleration
quickening|deceleration
speedup|deceleration
deceleration|acceleration, quickening, speedup
opening|shutting, closing
pronation|supination
shutting|opening
closing|opening
supination|pronation
decrease|increase, step-up
diminution|increase, step-up
reduction|increase, step-up
step-down|increase, step-up
minimization|maximization, maximisation, maximation
minimisation|maximization, maximisation, maximation
compression|decompression, decompressing
compressing|decompression, decompressing
decompression|compression, compressing
decompressing|compression, compressing
subtraction|addition
deduction|addition
deflation|inflation
weakening|strengthening
dilution|concentration
increase|decrease, diminution, reduction, step-down
step-up|decrease, diminution, reduction, step-down
addition|subtraction, deduction
appreciation|depreciation
depreciation|appreciation
contraction|expansion, enlargement
expansion|contraction
enlargement|contraction
maximization|minimization, minimisation
maximisation|minimization, minimisation
maximation|minimization, minimisation
inflation|deflation
extension|flexion, flexure
strengthening|weakening
concentration|dilution
union|disunion
unification|disunion
uniting|disunion
conjugation|disunion
jointure|disunion
tribalization|detribalization, detribalisation, detribalization, detribalisation
tribalisation|detribalization, detribalisation, detribalization, detribalisation
detribalization|tribalization, tribalisation, tribalization, tribalisation
detribalisation|tribalization, tribalisation, tribalization, tribalisation
disunion|union, unification, uniting, conjugation, jointure
decontamination|contamination, pollution
flexion|extension
flexure|extension
widening|narrowing
broadening|narrowing
narrowing|widening, broadening
activity|inactivity
day_game|night_game
night_game|day_game
away_game|home_game
road_game|home_game
home_game|away_game, road_game
hardball|softball, softball_game
softball|hardball
softball_game|hardball
ground_stroke|volley
volley|ground_stroke
compression|decompression
decompression|compression
major_surgery|minor_surgery
minor_surgery|major_surgery
allopathy|homeopathy, homoeopathy
homeopathy|allopathy
homoeopathy|allopathy
loading|unloading
unloading|loading
actual_sin|original_sin
original_sin|actual_sin
mortal_sin|venial_sin
deadly_sin|venial_sin
venial_sin|mortal_sin, deadly_sin
grand_larceny|petit_larceny, petty_larceny, petty
grand_theft|petit_larceny, petty_larceny, petty
petit_larceny|grand_larceny, grand_theft
petty_larceny|grand_larceny, grand_theft
petty|grand_larceny, grand_theft
hyperpnea|hypopnea
hypopnea|hyperpnea
